HATS-69 b,19h17m11.38s,-60d53m30.34s,14.074,2.225258,2.3578,1.221943,08/20/2021 02:09
HATS-7 b,13h55m25.62s,-21d12m28.29s,13.347,3.185315,2.2992,0.503933,08/19/2021 13:06
HATS-70 b,07h16m25.09s,-31d14m39.82s,12.227,1.888238,3.624,0.571696,08/19/2021 09:22
HATS-72 b,22h36m06.20s,-17d00m01.10s,12.324,7.327947,3.0847,1.058947,08/24/2021 03:30
HATS-8 b,19h39m46.01s,-25d44m54.12s,14.512,3.583893,3.0312,0.682401,08/19/2021 13:02
HATS-9 b,19h23m14.44s,-20d09m58.96s,13.256,1.915311,3.5083,0.581136,08/18/2021 21:47
HD 17156 b,02h49m44.79s,71d45m11.12s,8.17,21.216398,3.1435,0.556796,08/19/2021 01:17
HD 332231 b,20h26m57.87s,33d44m39.80s,8.558,18.71204,6.156,0.486774,09/01/2021 22:47
HIP 65 A b,00h00m44.55s,-54d49m50.96s,11.0,0.980973,0.7858,8.297474,08/18/2021 21:29
HIP 67522 b,13h50m06.24s,-40d50m09.23s,9.79,6.959503,4.822,0.447546,08/19/2021 14:58
K2-107 b,18h59m56.49s,-22d17m36.31s,13.012,3.313909,3.2232,0.697811,08/18/2021 19:26
K2-113 b,01h17m47.85s,06d52m07.85s,13.744,5.817649,3.0744,0.798501,08/20/2021 00:24
K2-139 b,19h16m16.01s,-17d54m38.57s,11.652,28.38246,4.9872,0.932618,08/28/2021 00:03
K2-140 b,12h32m32.96s,-09d36m27.40s,12.727,6.5693,4.56,1.299765,08/20/2021 21:30
K2-232 b,04h55m04.03s,18d39m15.56s,9.822,11.168459,5.0302,0.777528,08/29/2021 10:43
K2-237 b,16h55m04.52s,-28d42m38.10s,11.602,2.180558,3.0024,1.495061,08/20/2021 04:50
K2-24 c,16h10m17.63s,-24d59m26.17s,11.275,42.363493,6.69,0.442975,08/30/2021 22:26
K2-260 b,05h07m28.16s,16d52m03.70s,12.624,2.626666,4.1676,0.890596,08/20/2021 03:28
K2-289 b,16h26m34.31s,-15d47m33.14s,14.81,13.156974,3.93,0.776398,08/23/2021 02:21
K2-295 b,01h18m26.43s,06d49m00.22s,13.8941,4.024888,2.5104,1.737503,08/21/2021 14:34
K2-329 b,23h24m32.49s,-05d09m50.92s,12.697,12.455122,3.621,0.936287,08/28/2021 02:22
K2-34 b,08h30m18.89s,22d14m09.31s,11.447,2.995653,1.9512,0.81746,08/18/2021 12:01
KELT-10 b,18h58m11.61s,-47d00m11.91s,10.617,4.166274,3.744,1.414014,08/19/2021 03:54
KELT-12 b,17h50m33.72s,36d34m12.63s,10.585,5.031623,5.7624,0.595682,08/22/2021 00:34
KELT-14 b,07h13m12.34s,-42d24m35.14s,11.001,1.710059,2.1336,1.303725,08/19/2021 06:43
KELT-15 b,07h49m39.59s,-52d07m13.61s,11.39,3.329441,4.1256,1.002521,08/19/2021 20:10
KELT-16 b,20h57m04.45s,31d39m39.67s,11.717,0.968995,2.4888,1.143157,08/19/2021 09:33
KELT-17 b,08h22m28.18s,13d44m07.11s,9.234,3.080172,3.4752,0.907567,08/20/2021 10:42
KELT-19 A b,07h26m02.29s,07d36m56.79s,9.857,4.611709,4.3944,1.150364,08/22/2021 06:04
KELT-20 b,19h38m38.74s,31d13m09.12s,7.59,3.474108,3.5755,1.306892,08/18/2021 15:31
KELT-21 b,20h19m12.01s,32d34m51.76s,10.484,3.612765,4.1054,0.990033,08/19/2021 00:42
KELT-24 b,10h47m38.17s,71d39m20.62s,8.34,5.551493,4.3001,0.753347,08/18/2021 20:54
KELT-4 A b,10h28m15.03s,25d34m23.29s,9.98,2.989593,3.4627,1.186289,08/19/2021 11:15
KELT-9 b,20h31m26.38s,39d56m20.10s,7.55,1.481124,3.9158,0.676853,08/19/2021 17:29
KOI-3680 b,19h33m07.57s,45d18m34.77s,14.616,141.241671,6.7368,1.123049,09/10/2021 04:42
KPS-1 b,11h00m40.13s,64d57m49.84s,12.97,1.706291,1.68,1.361855,08/18/2021 12:15
Kepler-43 b,19h00m57.80s,46d40m05.67s,13.986,3.024093,2.7361,0.677317,08/20/2021 14:56
Kepler-433 b,19h50m22.47s,40d58m38.12s,14.717,5.334083,6.2521,0.423548,08/19/2021 02:41
Kepler-76 b,19h36m46.11s,39d37m08.30s,13.474,1.544929,1.4278,0.757976,08/18/2021 19:09
Kepler-9 b,19h02m17.76s,38d24m02.95s,13.922,19.24,3.8225,0.678556,09/02/2021 15:41
Kepler-9 c,19h02m17.76s,38d24m02.95s,13.922,38.91,4.109,0.648278,09/25/2021 16:38
MASCARA-1 b,21h10m12.37s,10d44m20.03s,8.28,2.14878,4.05,0.538784,08/19/2021 09:28
MASCARA-4 b,09h50m19.22s,-66d06m50.13s,8.191,2.82406,3.96,0.670581,08/19/2021 17:30
NGTS-10 b,06h07m29.35s,-25d35m41.63s,14.506,0.766894,1.091,3.156308,08/18/2021 18:47
NGTS-11 b,01h34m05.15s,-14d25m08.94s,12.456,35.45533,3.59,1.018283,08/27/2021 20:44
NGTS-12 b,11h44m59.99s,-35d38m26.03s,12.382,7.532806,5.85,0.459352,08/20/2021 03:51
NGTS-13 b,11h44m57.66s,-38d08m22.98s,12.744,4.119027,5.2224,0.430792,08/19/2021 13:24
NGTS-15 b,04h53m25.27s,-32d48m01.25s,14.669,3.27623,2.504,1.403975,08/20/2021 09:32
NGTS-16 b,03h53m03.34s,-30d48m16.71s,14.529,4.84532,3.061,1.212931,08/21/2021 18:39
NGTS-17 b,04h51m36.14s,-34d13m34.37s,14.412,3.24253,3.391,0.908346,08/21/2021 04:57
NGTS-18 b,12h02m11.09s,-35d32m54.99s,14.588,3.05125,3.601,0.797927,08/19/2021 18:17
NGTS-2 b,14h20m29.46s,-31d12m07.45s,10.789,4.511164,4.651,0.927413,08/19/2021 19:14
NGTS-3 A b,06h17m46.74s,-35d42m22.91s,14.669,1.675373,2.3,2.674413,08/19/2021 19:47
NGTS-5 b,14h44m13.98s,05d36m19.34s,13.789,3.356987,2.21,2.495391,08/19/2021 04:51
NGTS-8 b,21h55m54.22s,-14d04m06.38s,13.69,2.4997,2.61,1.306387,08/20/2021 22:40
NGTS-9 b,09h27m40.95s,-19d20m51.53s,12.868,4.43527,2.05,0.634863,08/19/2021 10:03
Qatar-10 b,18h57m46.54s,69d34m15.01s,12.868,1.645321,2.772,1.59885,08/19/2021 04:50
Qatar-3 b,23h56m36.47s,36d12m46.64s,12.929,2.50792,3.1104,0.784003,08/20/2021 05:24
Qatar-4 b,00h19m26.23s,44d01m39.35s,13.574,1.805356,2.1384,1.887327,08/20/2021 05:47
