c101,Caldwell 101,NGC 6744,-,Galaxy,19h09m48.0s,-63d51m00s,9,34000,Pavo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/NGC_4833_Hubble_WikiSky.jpg/500px-NGC_4833_Hubble_WikiSky.jpg
c102,Caldwell 102,IC 2602,Theta Car Cluster,Open cluster,10h43m12.0s,-64d24m00s,1.9,0.492,Carina,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/New_VISTA_snap_of_star_cluster_47_Tucanae.jpg/500px-New_VISTA_snap_of_star_cluster_47_Tucanae.jpg
c103,Caldwell 103,NGC 2070,Tarantula Nebula,Open cluster,05h38m42.0s,-69d06m00s,8.2,170,Dorado,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/NGC_6101.jpg/500px-NGC_6101.jpg
c104,Caldwell 104,NGC 362,-,Globular cluster,01h03m12.0s,-70d51m00s,6.6,27.7,Tucana,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/NGC_4372_in_Musca.jpg/500px-NGC_4372_in_Musca.jpg
c105,Caldwell 105,NGC 4833,-,Globular cluster,12h59m36.0s,-70d53m00s,7.4,19.6,Musca,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Ngc3195.jpg/500px-Ngc3195.jpg
c106,Caldwell 106,NGC 104,47 Tucanae,Globular cluster,00h24m6.0s,-72d05m00s,4,14.7,Tucana,
c107,Caldwell 107,NGC 6101,-,Globular cluster,16h25m48.0s,-72d12m00s,9.3,49.9,Apus,
c108,Caldwell 108,NGC 4372,-,Globular cluster,12h25m48.0s,-72d40m00s,7.8,18.9,Musca,
c109,Caldwell 109,NGC 3195,-,Planetary nebula,10h09m30.0s,-80d52m00s,11.6,5.4,Chamaeleon,
sh2248,Sharpless 248,IC 443,Jellyfish Nebula,Supernova remnant,06h17m13s,+22d31m05s,12,5,Gemini,https://upload.wikimedia.org/wikipedia/commons/7/78/IC443.jpeg
